Sample,red,green,blue,black,N1,N2,N3,Material
2021_Aug_31_SR-3501_SN19387Q4__00473.sed,57.1449232559384,41.57422412667899,37.5217592931001,109.70483282640697,34.6179720286579,36.22952516260169,37.21091034015957,3.0
1467,57.14427001682567,41.685936866319814,37.888331000925014,110.16549585067541,34.70773152156592,36.36264407283696,37.5977479233657,2.0
aug_0.0_e8471688,59.67159615258362,43.43693837668164,39.22618917734229,114.84858236242935,36.27386958567428,37.922869159395496,38.87589616207593,0.0
3092,51.422936930997935,37.16988367515451,33.23385117816844,95.92247806374269,30.126212397881982,31.820495597958455,32.91754081357226,8.0
2021_Aug_31_SR-3501_SN19387Q4__00010.sed,42.23483335014437,30.885347085465916,28.695784104576163,81.17814205510933,25.506209866037892,26.780150616246296,27.903499870585,2.0
718,48.034596029904954,34.762455714924556,32.03499683189844,94.55903168286001,29.497871204858576,31.033995697914268,32.499027032503726,7.0
1115,56.714812939453914,41.258330127399525,37.26975668142519,109.04054834316779,34.4159084208937,36.01876324993707,36.908788324546634,9.0
46,25.702909590902667,19.152289464743042,18.178264423740796,52.2805582849302,16.618815621678525,17.19897963686592,17.83265494884843,7.0
2021_Sep_01_SR-3501_SN19387Q4__00709.sed,20.408714887508722,14.931709648265183,14.282013714199376,38.26669957908267,11.810673976979054,12.555293926199269,13.620797881150441,6.0
4759,59.24001204679905,43.09774931749055,38.9061141823353,113.83703605044965,35.94764966034522,37.5934153536529,38.53693845474638,9.0
341,13.255471182482005,9.546550182841749,8.352780944250846,24.39223484533835,7.5287839332768165,8.133722577511403,8.58997986907518,2.0
2021_Aug_30_SR-3501_SN19387Q4__00338.sed,56.11565114597973,40.35368982186002,36.49925302726707,105.26020629790293,33.3076064588094,34.74195361231726,35.44294402272466,1.0
2021_Sep_01_SR-3501_SN19387Q4__00644.sed,57.080055499189406,41.45344375142434,37.33574274848834,108.97934541755954,34.346401842567275,36.03953808869478,37.0384707528939,5.0
2021_Aug_31_SR-3501_SN19387Q4__00170.sed,49.52109933092632,36.28636117061315,33.225935268992615,93.78594056889621,29.597425590760196,31.159579175082587,32.349129811987936,2.0
2540,58.548823963795556,42.56418616238642,38.35224052875469,112.2807532157648,35.43271340324543,37.07953923657115,38.05918359984226,7.0
2021_Sep_01_SR-3501_SN19387Q4__00816.sed,59.18554697071557,42.87040880655674,38.60254770575389,113.04118902244926,35.6764818960838,37.30903042789127,38.20924530604315,6.0
1964,57.3817201168572,41.6394015180921,37.42303441517243,109.52841594956487,34.5254002016959,36.176262881465505,37.180702015950025,7.0
4899,37.84039756619617,27.77063102817215,26.764492916061847,77.6388134785729,23.747366226067967,25.393647239789164,27.66026185083065,8.0
4223,54.432129954588305,39.473394113271695,35.45382150998663,103.8788044231267,32.73237153723062,34.3261980683407,35.207067770660835,7.0
5111,59.23700051118184,43.111504861721826,38.931535704681224,113.86607617752065,35.95883061977557,37.60661449678431,38.55833818014776,9.0
2021_Aug_31_SR-3501_SN19387Q4__00354.sed,59.64613933617744,43.41488879486651,39.20622274911658,114.81974200955955,36.2676729010659,37.91108116555736,38.85195321147546,0.0
2021_Sep_01_SR-3501_SN19387Q4__00802.sed,58.94232019910456,42.66897548109354,38.35466861767806,112.36009428446329,35.454976894511795,37.095587714714895,37.985126939465005,6.0
2021_Sep_01_SR-3501_SN19387Q4__00609.sed,55.553404823914875,40.28695040201418,36.24361747915011,106.42593074644121,33.51086144313075,35.11906565615071,36.15627061577046,5.0
aug_6.0_3989555e,58.48498902347082,42.333199451850106,37.946327294749715,111.29901449108333,35.090781048673485,36.76161886184808,37.68431395233762,6.0
4914,56.43156145644425,41.11158832378031,37.335454179641836,108.63566402035691,34.2046024118361,35.845351438296554,37.071697004602996,2.0
2021_Sep_01_SR-3501_SN19387Q4__00034.sed,59.80734508195822,43.52706649373984,39.30748969235566,115.08659293206716,36.3486013351629,38.001841009444746,38.94204697811263,4.0
