Sample,S1,S2,S3,S4,S5,S6,S7,S8,E12,Material
4026,7.704583358418076,8.112906111564918,7.738433107638885,7.830845053172136,8.514861532236194,8.19153401171983,7.569627367925215,6.052417537488169,116.40959298927459,8.0
1890,4.242549066172913,4.5793266361455,4.468932270633285,4.554036427587599,4.895035099452471,4.668322171667796,4.113432313122794,3.291981834826727,69.87872674814835,8.0
1996,8.414402862993843,8.940659700431759,8.620519597887409,8.846680466874146,9.582800599002645,9.269625304775245,8.318795685626716,6.766831755033112,130.46282390962546,7.0
3038,8.555670241111928,9.087032315631665,8.759322154570384,8.992910771028043,9.742521358370494,9.436722298481108,8.46741852719017,6.921358261312453,132.31994030156062,9.0
1408,8.44563051690706,8.985979421091617,8.670931513302076,8.900294046380743,9.648105361238251,9.323329958383574,8.338529169823358,6.798293733683671,131.40621257810537,7.0
2021_Sep_01_SR-3501_SN19387Q4__00305.sed,8.667527622407674,9.22944465259894,8.911205997816964,9.156489391490233,9.926147558531515,9.605364686948139,8.562721587918256,7.027999854930927,134.826388898537,4.0
4628,6.2580197353232005,6.735087111302887,6.510266177474986,6.689653212155413,7.232226832369465,6.959405053972445,6.157982773762474,4.945009126508917,100.3662469122151,2.0
2855,8.133602554489874,8.577322108346356,8.192781120300246,8.35771166719017,9.030598871961082,8.767735826120033,8.076055237040967,6.5096206791065585,123.12995628809848,7.0
2824,8.067654958326191,8.51244076915908,8.126255000748106,8.286489220954689,8.943118970267639,8.687593076365223,8.021967382615392,6.466695031984084,122.04282797179575,7.0
159,4.045999217061538,4.330013095339076,4.105591066264989,4.149581532903823,4.500519125052282,4.46188069397431,4.005327777566728,3.4637399752563165,60.7553382344216,5.0
4391,8.640315203091053,9.200387832935933,8.883907330563872,9.129600802183079,9.897461417649847,9.577585140071434,8.53667953568525,6.998165583643209,134.48256702315973,9.0
304,6.230978533079773,6.619161785829679,6.381026119807139,6.537027943230656,7.052742875900529,6.8563824042442425,6.207516647257992,4.970697079836803,97.73236045402933,7.0
1206,7.944081723688659,8.465402201836868,8.183878792665551,8.410920679077478,9.109385032054039,8.81090892237492,7.846512597664567,6.397707249489071,124.46152470945874,7.0
3865,8.345710365724822,8.850048682985674,8.51253245664617,8.726919646626907,9.460678828725943,9.14668246567658,8.238696176041818,6.702839956703356,128.72303208581957,2.0
2021_Sep_01_SR-3501_SN19387Q4__00318.sed,8.66672775953775,9.22974880829525,8.913099685099624,9.159417507432703,9.930306368862228,9.606678027175288,8.562116353713202,7.026128197037666,134.8729917044182,4.0
2021_Sep_01_SR-3501_SN19387Q4__00032.sed,8.706342385759102,9.26659178721441,8.946553729588906,9.196519826091373,9.967861069447336,9.65264346405359,8.60626460182506,7.0585349096694205,135.36761764904148,4.0
2021_Aug_31_SR-3501_SN19387Q4__00369.sed,8.691172658085291,9.247715880152835,8.927521080018504,9.176572175027601,9.946520750785558,9.633047667198372,8.59037196647175,7.047303772667335,135.06773037788994,0.0
255,1.9773748182429574,2.1750973515318477,2.003327414758333,1.9786181801621963,2.163391966375593,2.2048743516078906,1.934127359945222,1.8278944761144604,28.52218317578448,5.0
2021_Sep_01_SR-3501_SN19387Q4__00580.sed,8.358429196986787,8.931811930948712,8.640742036038471,8.882516833954085,9.667250038527456,9.292075501512016,8.246811763317792,6.711746190496667,131.4287520960288,5.0
1407,8.460781374880833,8.999689702261133,8.679828720959927,8.905619848580649,9.655495239248513,9.330219781956378,8.355177962797002,6.808097928170387,131.43780678401652,7.0
4930,7.863715537386218,8.24005793017076,7.795408961804982,7.921478031294657,8.547934121115262,8.350363575862659,7.841395860435998,6.307483681178297,116.4231690576534,2.0
2070,7.48507031127828,8.009232151796432,7.7122423366530874,7.84597457552573,8.56507424548213,8.139687876887738,7.3121658264843905,5.8876476812455,117.25484048007105,8.0
4086,8.665820734488008,9.220315357526863,8.900030137135573,9.144902297924867,9.912535033251048,9.594730981749873,8.564261115264086,7.016059180536865,134.6555060680425,9.0
2436,8.160660969434817,8.68958896338441,8.394424050635806,8.615815291892947,9.339325354340914,9.04952767572874,8.06732460269657,6.617369505756919,126.87104656023386,9.0
2021_Sep_01_SR-3501_SN19387Q4__00815.sed,8.48649975337752,9.046801437425634,8.748738544875248,9.000342395925138,9.768535881512687,9.429772860769889,8.385343244751795,6.8307710893465625,133.0968047478269,6.0
2021_Aug_31_SR-3501_SN19387Q4__00431.sed,8.689504572957702,9.25074702640459,8.932574987495412,9.181879901655638,9.95343113123527,9.634813041117175,8.588691984775416,7.043149323992971,135.17715492830223,0.0
813,8.179134800277165,8.592223779196567,8.208872084243072,8.38298675996946,9.060483742518196,8.88922946853299,8.181689642293705,6.690658807885979,122.75256630170176,9.0
