Sample,red,green,blue,black,N1,N2,N3,N4,Material
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,11.924034022020706,8.670133631039755,6.164762520854505,133.88319086344114,9.572957678774046,9.21042461878525,8.97681541596529,7.356177789231293,0.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,8.60415597688287,6.085017617847242,4.3797452231692136,105.77411876176986,7.3914467287242935,6.928239972184621,6.502466531309363,5.176928882733266,6.0
1021,8.902308896494244,6.2715135022366395,4.4054996867062,101.08896055156382,7.228579869235073,6.8447154495341485,6.57974196503103,5.401691940233954,8.0
576,8.65873763941465,6.182361523383018,4.345394582063022,95.32181366924878,6.753328478432813,6.666845825609678,6.247058609980123,5.178502761064128,2.0
761,10.802971433038701,7.969026543227076,5.668063075773764,121.9986595653218,8.727227088171066,8.510887239829506,8.341625983391845,6.754806058931427,7.0
2021_Aug_31_SR-3501_SN19387Q4__00102.sed,10.627911602473462,7.353537974107118,5.441018131222099,124.82716651972913,9.024408252573162,8.17022200963866,7.947823446433738,6.372299238548924,2.0
aug_3.0_2b89533b,11.500231699545834,8.367703603413679,5.949364700433372,130.5092588566863,9.475182746419604,8.879692393856015,8.56455908590345,6.9671784900757245,3.0
3523,11.632920622525022,8.764448664627027,6.062759745091322,133.67228913007352,9.695662382188955,9.245238116444503,8.985867846690805,7.326166175926524,9.0
2021_Sep_01_SR-3501_SN19387Q4__00384.sed,11.576164257512099,8.233795679504357,5.735072455654357,128.74188763207408,9.036207225462896,8.903653171309141,8.383102363709511,6.927792040041426,5.0
3866,11.382171107965943,8.27943334699338,5.910885827174589,127.59427079857845,9.23513637020222,8.830394447919586,8.47477532068746,7.11163841151848,2.0
aug_3.0_fa0a66b8,11.151254571639647,8.385158140913905,5.931036230678891,130.25046373917576,9.398142321668045,9.080107924659288,8.775505495491853,7.144705175244892,3.0
2072,7.245413946374152,5.241257225842849,3.840011763932207,78.93293881874956,5.601658330027602,5.538340520336805,5.590589643948362,4.4636052228385985,8.0
2021_Aug_31_SR-3501_SN19387Q4__00473.sed,11.126103645201175,8.22472795805393,5.910679157890636,128.18375682701074,9.266367593480924,8.914885126742194,8.703270124285826,6.996829308334759,3.0
1467,11.096955295766612,8.46195390224655,6.0090722256705815,130.25719192215956,9.190097798588091,8.736330765985274,8.678949160423562,7.014141980104964,2.0
aug_0.0_e8471688,11.97297410655045,8.672776401050065,6.149417263117336,135.31450757478504,9.798912909217727,9.21905574543917,9.019743069507287,7.479608328154474,0.0
3092,9.788543530816822,7.028369525848537,4.944605075763529,115.34702690965494,8.189295753272434,7.786932314695363,7.438304348101015,5.920204431551241,8.0
2021_Aug_31_SR-3501_SN19387Q4__00010.sed,8.234979033291882,5.924900632174758,4.41484142086199,96.88824778550452,6.779125118995473,6.508952145387074,6.231453420635259,5.213594022861749,2.0
718,9.992466720351135,7.420886804865602,5.347246741321242,110.40949231844723,7.785572711548655,7.590670874814973,7.625008785759916,6.159054668291,7.0
1115,11.344955155830863,8.212290716766292,5.962307909027829,127.65039004904234,9.044750789167086,8.846269649547603,8.527600383332638,6.887296210958558,9.0
46,5.228130791620779,4.0496447689741455,2.995856632979458,59.81759904160839,4.364567436345088,4.178969905398378,4.117473458213748,3.432370372327232,7.0
2021_Sep_01_SR-3501_SN19387Q4__00709.sed,3.7332382501763703,2.580913778382604,2.0070406361268875,45.91658608081736,3.2050158568167277,3.0111412748170965,2.8984113739128294,2.2427282631176926,6.0
4759,11.599571571013048,8.603722182323647,6.094514815895578,133.5243355218649,9.594152623983906,9.254674397568845,8.797875081265508,7.278127790536945,9.0
