Sample,red,green,blue,black,N1,N2,N3,Material
718,47.623566018173776,34.86887354136028,32.1118507245097,93.95644690032225,7.263013434697638,6.794620583510159,7.058157880384416,7.0
1115,56.479325398520324,41.14273432239121,36.94701918705226,109.8362355328423,8.304234165229952,7.733469676365219,7.843192804141654,9.0
46,25.70159800541946,19.012963842203327,18.21423251629855,52.25834343108068,4.285705825400691,3.8453668186129613,3.9285856032299136,7.0
2021_Sep_01_SR-3501_SN19387Q4__00709.sed,20.517131386628122,15.046886783043224,14.078665262852091,38.466450338025226,3.093821213346468,2.6265279703410633,2.716599900910143,6.0
4759,58.923155703850775,43.55399058974919,38.56509060313852,113.94139056877528,8.884446340887077,7.930986150205884,8.189263835472138,9.0
341,13.2102435837964,9.582334854926094,8.339606441619456,24.66081549963777,1.8268534193651655,1.6823247769496041,1.6290705943687045,2.0
2021_Aug_30_SR-3501_SN19387Q4__00338.sed,56.94229128066173,39.73189955781476,36.88648572404618,105.74822134496891,8.202232247184165,7.292115237145453,7.503329667536873,1.0
2021_Sep_01_SR-3501_SN19387Q4__00644.sed,57.05193693508411,40.90314858980547,37.38582105938305,107.17906267602586,8.365477346368795,7.696967312156945,7.72859390117882,5.0
2021_Aug_31_SR-3501_SN19387Q4__00170.sed,49.449502465580316,36.11987023440848,33.52775319027574,94.19494783713549,7.3009400177321755,6.609789754324547,6.602593128509298,2.0
2540,59.153007048834525,42.33687168712798,37.91102142852143,113.6567036879392,8.885783434136851,8.071930422581419,8.078178268876641,7.0
2021_Sep_01_SR-3501_SN19387Q4__00816.sed,59.49108154442224,42.95974432095099,38.41501784696374,112.37989700027019,8.77377067320298,7.973664401196429,8.17440819745194,6.0
1964,56.37855522536248,40.87318055226256,37.33313383385859,107.60374280695419,8.407012512830907,7.773920190100284,7.7160608760958995,7.0
4899,38.20058519436906,27.602651815321018,26.977950744889874,75.36154781047966,6.094914114102899,5.678826551890971,6.288398675120869,8.0
4223,55.00129703106126,38.68547823484733,35.43060364635941,105.08476385051019,8.01226526014551,7.233374615425012,7.400668811380523,7.0
5111,59.94990534278436,43.371745553900006,38.941215571540766,114.34195729660216,8.938109989705042,8.137677972637954,8.192971168387094,9.0
2021_Aug_31_SR-3501_SN19387Q4__00354.sed,59.88333039771716,43.43956739386813,39.535583674293584,115.84427933663893,8.83110711110008,8.098604739171426,8.289682477325911,0.0
2021_Sep_01_SR-3501_SN19387Q4__00802.sed,59.77894788986125,42.68206719353177,38.531913326259165,111.07559401003073,8.84238861133454,7.729225635123584,8.003017547447032,6.0
2021_Sep_01_SR-3501_SN19387Q4__00609.sed,55.170805061583025,40.007630387893755,36.15543143282327,104.43125113352508,8.253048420585113,7.51600255935422,7.631746776236063,5.0
aug_6.0_3989555e,58.76007437910683,42.83209416708402,37.41418068981403,112.13325099963417,8.653930358779885,7.911822058900483,7.914569341440361,6.0
4914,56.69274280631187,40.49099242048819,37.67264393993367,109.17127608955448,8.461047299082075,7.535090331725424,7.761225587412505,2.0
2021_Sep_01_SR-3501_SN19387Q4__00034.sed,60.81800289345307,43.19375008600551,39.30660395398604,114.14419412158509,8.965702391473878,8.096558290681699,8.34871423348799,4.0
2021_Sep_01_SR-3501_SN19387Q4__00176.sed,59.4646081216747,42.75598648420185,39.79982455943901,112.71007053031657,8.93076215123649,8.00632897265774,8.186656522764158,4.0
5241,49.58898395509093,35.71454593985094,32.47827501046014,96.88979892930223,7.482211812756819,6.824181323339973,6.997370065090127,2.0
4248,52.3399001740137,37.892471186718616,33.95592814464245,98.45245415340344,7.6931625438339015,6.936898761488785,7.1351423353669245,7.0
aug_0.0_f16076ff,59.650165336379544,42.562288383562745,39.666110372730046,115.18092553186197,8.992331711868776,8.224230810474813,8.235022682257922,0.0
