Sample,E12,R,G,B,G1,G2,G3,G4,G5,G6,Material
2021_Sep_01_SR-3501_SN19387Q4__00506.sed,125.48070539521409,9.273709768776095,6.083045856938201,4.3895409734736655,8.190378891934454,8.466981253931266,8.529294019718971,8.678541344332496,8.939254094849561,8.690819690831837,5.0
2021_Aug_31_SR-3501_SN19387Q4__00586.sed,130.11055217824156,9.585151115055872,6.347237453853118,4.582668228170816,8.485047565326866,8.791196121671183,8.867113538545976,9.043427004461567,9.307617865937972,9.034879575504602,3.0
5099,133.97278031338323,9.883186597459881,6.5557137025421355,4.734276570565802,8.74546334092956,9.06273866952441,9.141410246413347,9.326683636699336,9.597648780451163,9.321374573891458,9.0
868,67.75288025692569,5.006599317593456,3.0364398632886402,2.1204676110396905,4.2526621929537525,4.462005995040283,4.521422836537969,4.577335238938226,4.682860773973241,4.486197954714246,8.0
1950,95.24577138595203,7.047379325017235,4.509592800206246,3.225464280305301,6.111816679351201,6.371808202769761,6.428530443369946,6.555434016261236,6.744378361210149,6.535391434670611,2.0
aug_3.0_29397fac,133.001758436697,9.787708091822301,6.455411223942094,4.670646563519692,8.629907400487669,8.957348927610774,9.047271414517102,9.234144907245513,9.520915353762682,9.22407408529488,3.0
2053,103.24658150287617,7.570574204633941,4.9501081817562085,3.623196683534249,6.802356174445968,6.978104379267022,6.985284956108034,7.076241283617596,7.265282596877401,7.043681463849989,8.0
205,69.6085578895578,5.163373982375648,3.430507996036422,2.464934226599664,4.590301071833453,4.782624418944421,4.782905334654755,4.851326735884516,4.959152615522706,4.809124215772127,2.0
1544,134.8300088272067,9.951739637584447,6.6099572494441965,4.773301897630031,8.814358847657033,9.130940088714315,9.206692596416902,9.391892243290284,9.661999043256245,9.386787560516726,9.0
2988,111.48222559194573,8.231153994429107,5.47479543625634,4.031993300787249,7.506805648529526,7.647306066208067,7.608303008388634,7.671537158978271,7.863229478774363,7.6647831753674875,8.0
aug_mixup_9.0_306812,127.71243925333769,9.550843039486935,6.393213781938941,4.612751339130529,8.514724542093047,8.770670502772587,8.797089491986934,8.933958321632614,9.164009880557453,8.961874879675761,9.0
3856,116.01646765695341,8.682748691369765,5.853185646847766,4.271243380369166,7.911213559659828,8.078595391172076,8.00767178139532,8.076226526513539,8.248662880576836,8.082903604917524,2.0
3011,132.32227788735707,9.777694274989678,6.504116640536534,4.702800547002877,8.683917512758642,8.982065019488191,9.045245339026568,9.217892163287157,9.477273639111328,9.212402032956899,9.0
3499,132.67980309995403,9.794691301167566,6.4706647602279,4.6626248836691335,8.646716163949822,8.964189586198282,9.042962451012453,9.22510817469093,9.494333099558734,9.217334236051325,7.0
aug_0.0_db834afa,135.12770694508993,9.972404635037247,6.622383469362896,4.781430375739569,8.827818377731635,9.147327321842251,9.225601879222516,9.412349629471928,9.685026550212173,9.40871756629155,0.0
2021_Aug_31_SR-3501_SN19387Q4__00434.sed,135.17596433327103,9.976128043459838,6.6208408429695575,4.7807265828608845,8.82690840290555,9.147239673665064,9.226839944140604,9.414689218088716,9.688287798447266,9.410745243923596,0.0
2021_Sep_01_SR-3501_SN19387Q4__00588.sed,132.2808843447974,9.741700563796147,6.383666449030007,4.628723506632554,8.559728856344414,8.884224149081042,8.976805690827282,9.162188576110278,9.457761423578404,9.1610997471155,5.0
aug_mixup_8.0_620710,109.04753471763132,7.947041475477872,5.089439863481862,3.6537493661602265,6.951487529767167,7.2516541571942295,7.327943323083452,7.449152512904852,7.683452978012697,7.382022656821297,8.0
3684,131.70499646381893,9.708825705905674,6.4035629395034315,4.615983799396862,8.565536307190452,8.88685406090711,8.96755056716481,9.145928359390028,9.418963945566535,9.133899350031754,2.0
2021_Aug_31_SR-3501_SN19387Q4__00614.sed,131.2207819658931,9.649559887286665,6.3828724839211635,4.611394219517767,8.534547610777487,8.855985314393292,8.936617965946798,9.110969939504454,9.384801913084544,9.096332581138078,3.0
2021_Sep_01_SR-3501_SN19387Q4__01006.sed,102.63630424498645,7.113052430394142,4.490658521585509,3.343098081577511,6.215017373129582,6.616808945120404,6.760472764011439,6.843998891043984,7.191213791746478,6.701428322938308,6.0
