Sample,red,green,blue,black,Material,Predicted_Label
2021_Sep_01_SR-3501_SN19387Q4__00975.sed,37.37826014238069,27.34989315148473,25.11075384272237,68.6206244051515,6.0,6
2021_Sep_01_SR-3501_SN19387Q4__01012.sed,47.030181038932746,34.142226565598044,31.12418592343056,86.45074743713249,6.0,6
2021_Sep_01_SR-3501_SN19387Q4__00338.sed,59.65629896325099,43.41320673879939,39.19261782817385,114.70654541233247,4.0,4
595,54.70838164104912,39.85189516769326,36.18369933370647,106.75763438054057,9.0,9
2511,57.85118514433536,42.065436726155184,37.92473201192413,110.91082194091295,2.0,2
5049,58.189833817824045,42.3730533633409,38.37991992216188,112.21385269855077,9.0,9
2021_Sep_01_SR-3501_SN19387Q4__00586.sed,58.71465919533377,42.535029403310986,38.43330059471738,112.07624273689896,5.0,5
2518,57.887708555361954,42.08626354694904,37.93179833816397,110.8818317111927,2.0,2
2021_Sep_01_SR-3501_SN19387Q4__00537.sed,56.79827479111107,41.21302324892294,37.16983216440682,108.31188141198272,5.0,5
2021_Sep_01_SR-3501_SN19387Q4__00257.sed,59.45685399483144,43.289882076563416,39.0765777922645,114.469159209363,4.0,4
2021_Sep_01_SR-3501_SN19387Q4__00024.sed,58.74914976535028,42.75117599507408,38.59806896384769,113.11685767211398,0.0,0
3097,30.67743394172168,21.62379600466253,18.66071060844392,55.18315923976974,8.0,8
2021_Aug_31_SR-3501_SN19387Q4__00622.sed,58.26590570398106,42.3907026131585,38.26927586942791,111.63542323085912,3.0,3
2021_Sep_01_SR-3501_SN19387Q4__00248.sed,59.66932429985688,43.41482872591677,39.19990736324758,114.7210958727244,4.0,4
2985,48.81900816545512,35.64763947069646,33.0076984535483,95.04503619835316,8.0,8
4685,50.393988960273546,36.281865595563296,32.25951049370317,94.55692714155091,7.0,7
1115,56.71481293945392,41.258330127399525,37.26975668142519,109.0405483431678,9.0,9
3710,57.264324275671605,41.53126126465929,37.30553438873363,109.23999606584648,7.0,7
